TM,WD,WSPD,WS_GST,VIS,RVR1,RVR2,RVR3,RVR4,WC,TMP,TD,PS,PA,RN,HM,CA_TOT,CLA_1LYR,BASE_1LYR,CLF_1LYR,CLA_2LYR,BASE_2LYR,CLF_2LYR,CLA_3LYR,BASE_3LYR,CLF_3LYR,CLA_4LYR,BASE_4LYR,CLF_4LYR
2015103124,6,5,,1000,,,,,,47,-38,10291,10283,,54,0,,,,,,,,,,,,
2015110101,8,3,,1000,,,,,,45,-47,10290,10282,,51,0,,,,,,,,,,,,
2015110102,3,3,,1000,,,,,,30,-48,10291,10282,,56,1,1,200,0,,,,,,,,,
2015110103,5,4,,1000,,,,,,39,-47,10284,10276,,53,1,1,200,0,,,,,,,,,
2015110104,7,4,,1000,,,,,,34,-44,10282,10273,,56,2,2,200,0,,,,,,,,,
2015110105,8,5,,1000,,,,,,35,-50,10277,10268,,53,4,4,200,0,,,,,,,,,
2015110106,6,6,,1000,,,,,,30,-22,10274,10265,,68,4,4,200,0,,,,,,,,,
2015110107,9,4,,1000,,,,,,32,-24,10278,10269,,66,4,4,200,0,,,,,,,,,
2015110108,7,5,,1000,,,,,,43,-19,10276,10268,,63,4,4,160,0,,,,,,,,,
2015110109,6,5,,1000,,,,,,65,-3,10279,10271,,61,4,4,160,0,,,,,,,,,
2015110110,10,4,,800,,,,,5,79,-4,10279,10271,,55,5,3,120,3,5,160,0,,,,,,
2015110111,7,5,,800,,,,,5,82,-29,10274,10266,,45,6,4,120,3,6,160,0,,,,,,
2015110112,4,3,,800,,,,,5,93,-25,10272,10264,,43,6,4,120,3,6,160,0,,,,,,
2015110113,4,5,,800,,,,,5,97,-21,10262,10254,,43,6,4,120,3,6,180,0,,,,,,
2015110114,4,3,,800,,,,,5,104,-15,10260,10252,,43,6,6,140,3,,,,,,,,,
2015110115,18,4,,800,,,,,5,102,-5,10252,10244,,47,6,6,120,3,,,,,,,,,
2015110116,11,3,,800,,,,,5,106,-4,10246,10238,,46,4,4,120,3,,,,,,,,,
2015110117,24,4,,800,,,,,5,101,-2,10248,10240,,49,5,1,30,6,5,120,3,,,,,,
2015110118,9,5,,800,,,,,5,97,-1,10238,10230,,50,7,1,30,6,7,120,3,,,,,,
2015110119,5,3,,1000,,,,,,93,6,10240,10232,,55,7,1,30,6,7,120,3,,,,,,
2015110120,36,1,,1000,,,,,,95,2,10244,10236,,52,7,1,30,6,7,120,3,,,,,,
2015110121,6,3,,1000,,,,,,89,13,10240,10232,,59,7,7,120,3,,,,,,,,,
2015110122,8,3,,1000,,,,,,91,8,10240,10232,,56,7,7,120,3,,,,,,,,,
2015110123,10,5,,1000,,,,,,89,14,10238,10230,,59,6,1,30,6,6,110,3,,,,,,
2015110124,6,3,,1000,,,,,,84,17,10236,10228,,63,7,2,30,6,7,110,3,,,,,,
2015110201,6,4,,1000,,,,,,84,16,10232,10224,,63,8,2,30,6,8,90,4,,,,,,
2015110202,6,4,,1000,,,,,,78,16,10229,10221,,65,7,2,30,6,7,90,4,,,,,,
2015110203,6,4,,1000,,,,,,80,16,10227,10219,,64,7,1,30,6,7,90,4,,,,,,
2015110204,9,3,,1000,,,,,,79,18,10225,10217,,66,7,1,30,6,7,80,4,,,,,,
2015110205,10,2,,1000,,,,,,77,16,10225,10217,,66,7,2,30,6,7,100,3,,,,,,
2015110206,11,2,,1000,,,,,,74,10,10225,10217,,64,5,3,30,6,5,100,3,,,,,,
2015110207,9,1,,1000,,,,,,67,12,10230,10222,,68,4,1,40,6,4,100,3,,,,,,
2015110208,7,1,,1000,,,,,,83,9,10233,10225,,60,4,1,40,6,3,120,3,4,180,0,,,
